Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
369,J. Sainsbury, NZ SBT,Retail,Europe,N,,,Y,Targets Set,1.5°C,2030,Yes,2050,,2024,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1,2 and 3",Net Zero,C,2035,2020,V,2050,2021,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
370,Shenzhen Investment Holdings,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Ansteel Group,,Metals and mining,Asia,N,,,N,,,,,,,,G,organization,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Hanwha, NZ,Financial services,Asia,N,,,N,,,,,,,,I,,,I,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
373,U.S. Bancorp, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,across enterprise,Net Zero,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
374,Lufthansa Group,CN SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/08/2022,2022,C, flight operations,carbon neutraliy,C,2050,2023,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
375,Pegatron, NZ SBT,Industrial goods,Asia,N,,,N,Committed,,2030,Yes,,01/02/2022,2022,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2022,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,,
376,Abbott Laboratories, SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/09/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
377,ThyssenKrupp,CN SBT,Metals and mining,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,Yes,,01/08/2019,2019,C,Scope 1 and 2,climate neutral,C,2050,2019,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
378,New Hope Holding Group,,"Food, beverages and agriculture",Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,KDDI,CN SBT RE100,Telecommunications and media,Asia,Y,2023,2050,Y,Targets Set,1.5Â°C,2030,No,,01/04/2022,2022,"C, V","Scope 1 and 2, Scope 1, 2 and 3",carbon neutral,C,2030,2020,V,2050,2020,Y,2023,I,,,I,,,,,,,,,1,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,1,,,,
380,China National Nuclear,,Energy and utilities,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2020,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
