company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
anthem,North America,Health care and pharmaceuticals,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,North America,Technology,1.0,1.0,1.0,1.0,,North America,Technology,1.0,1.0,1.0,,1.0,North America,Technology,1.0,1.0,1.0,,1.0,North America,Technology,1.0,1.0,1.0,,1.0,North America,Technology,1.0,1.0,1.0,,1.0
arcelormittal,Other,Industrial goods,,,1.0,,,Other,Metals and mining,,,,1.0,1.0,Other,Industrial goods,,,1.0,,1.0,Europe,Metals and mining,,,,1.0,1.0,Europe,Metals and mining,,,,1.0,1.0
archer daniels midland,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,
arrow electronics,North America,Technology,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,,,,,,,
assicurazioni generali,Europe,Financial services,,,1.0,1.0,,Europe,Financial services,,,1.0,1.0,1.0,Europe,Financial services,,,,1.0,,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0
astrazeneca,Europe,Health care and pharmaceuticals,1.0,,,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,
at&t,North America,Telecommunications and media,,1.0,1.0,,,North America,Telecommunications and media,,1.0,1.0,,,North America,Telecommunications and media,,1.0,1.0,,1.0,North America,Telecommunications and media,,1.0,1.0,,1.0,North America,Telecommunications and media,,1.0,,1.0,1.0
aviation industry corp. of china,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,1.0,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,1.0,1.0,,,,,,,
aviva,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
axa,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
bae systems,Europe,Aerospace and defense,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Europe,Aerospace and defense,,1.0,,1.0,
banco bilbao vizcaya argentaria,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0
banco bradesco,Other,Financial services,,,1.0,1.0,,Other,Financial services,,,1.0,1.0,1.0,Other,Financial services,,,,1.0,1.0,Other,Financial services,,,,1.0,1.0,Other,Financial services,,,,1.0,1.0
banco do brasil,Other,Financial services,,,1.0,,,Other,Financial services,,,1.0,,1.0,Other,Financial services,,,1.0,,1.0,Other,Financial services,,,1.0,,1.0,Other,Financial services,,,,,1.0
banco santander,Europe,Financial services,,,1.0,1.0,,Europe,Financial services,,,1.0,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0
bank of america,North America,Financial services,1.0,,1.0,1.0,,North America,Financial services,1.0,,1.0,1.0,-1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
bank of china,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,1.0
bank of communications,Asia,Financial services,,,,,,Asia,Financial services,,,,,-1.0,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
bank of montreal,North America,Financial services,,,1.0,1.0,,,,,,,,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
bank of nova scotia,North America,Financial services,,,,,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
barclays,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,1.0,1.0
basf,Europe,Chemicals,,,1.0,,,Europe,Chemicals,,,,1.0,1.0,Europe,Chemicals,,,,1.0,,Europe,Chemicals,,,,1.0,1.0,Europe,Chemicals,,,,1.0,1.0
bayer,Europe,Health care and pharmaceuticals,,1.0,1.0,1.0,,Europe,Health care and pharmaceuticals,,1.0,1.0,1.0,1.0,Europe,Health care and pharmaceuticals,,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,,1.0,,1.0,1.0,Europe,Chemicals,,1.0,,1.0,1.0
beijing automotive group,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,
beijing jianlong heavy industry group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
berkshire hathaway,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
best buy,North America,Retail,,1.0,1.0,,,North America,Retail,,1.0,1.0,,1.0,North America,Retail,,1.0,,1.0,,North America,Retail,,1.0,,1.0,1.0,North America,Retail,,1.0,,1.0,1.0
bharat petroleum,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,,1.0,,Asia,Energy and utilities,,,,1.0,,Asia,Oil and gas,,,,1.0,1.0,Asia,Oil and gas,,,,1.0,
