company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
cofco,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Retail,,,,,,Asia,Financial services,,1.0,,,,Asia,Financial services,,1.0,,,
coles group,Other,"Food, beverages and agriculture",,,,1.0,,Other,Retail,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
comcast,North America,Telecommunications and media,,,1.0,,,North America,Telecommunications and media,,,1.0,,,North America,Telecommunications and media,,,1.0,,1.0,North America,Telecommunications and media,,,1.0,,,North America,Telecommunications and media,,1.0,1.0,,1.0
commonwealth bank of australia,Other,Financial services,1.0,,,,,,,,,,,,,,,,,,,Other,Financial services,,,,1.0,1.0,Other,Financial services,1.0,,,1.0,1.0
compal electronics,Asia,Technology,,,,,,Asia,Technology,,,,1.0,,Asia,Technology,,,,1.0,,,,,,,,,,,,,,,
compass group,Europe,"Food, beverages and agriculture",,,,,,,,,,,,,Europe,Retail,,1.0,,1.0,,Europe,"Food, beverages and agriculture",,1.0,,1.0,1.0,Europe,Industrial goods,,1.0,,1.0,1.0
continental,Europe,Automotive,1.0,1.0,1.0,,,Europe,Automotive,1.0,1.0,1.0,,1.0,Europe,Automotive,1.0,1.0,1.0,,1.0,Europe,Automotive,1.0,1.0,1.0,,1.0,Europe,Automotive,1.0,1.0,1.0,,
coop group,Europe,"Food, beverages and agriculture",,,1.0,,,Europe,Retail,,,1.0,1.0,1.0,Europe,"Food, beverages and agriculture",,1.0,,1.0,,Europe,Retail,,,,1.0,,Europe,Retail,,,,1.0,
costco wholesale,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,
country garden holdings,Asia,Real estate,,,1.0,,,Asia,Real estate,,,,,-1.0,Asia,Financial services,,,,,,,,,,,,,Asia,Real estate,,,,,
credit agricole,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,,,Europe,Financial services,1.0,,1.0,,1.0,Europe,Financial services,1.0,,1.0,,1.0,Europe,Financial services,1.0,,,1.0,1.0
credit suisse group,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
crh,Other,Industrial goods,,,1.0,,,Europe,Industrial goods,,1.0,1.0,,,Europe,Industrial goods,,1.0,,1.0,,Europe,Industrial goods,,1.0,,1.0,,Europe,Industrial goods,,1.0,,1.0,
crrc group,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,1.0,,,Asia,Industrial goods,,,1.0,,,Asia,Industrial goods,,,1.0,,
cvs health,North America,Health care and pharmaceuticals,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,1.0,1.0,,North America,Health care and pharmaceuticals,,1.0,,1.0,,North America,Health care and pharmaceuticals,,1.0,,1.0,,North America,Health care and pharmaceuticals,,1.0,,1.0,1.0
dai-ichi life holdings,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,
daimler,Europe,Automotive,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daiwa house industry,Asia,Real estate,1.0,1.0,,1.0,,Asia,Engineering and construction,1.0,1.0,1.0,,,Asia,Engineering and construction,1.0,1.0,,1.0,,Asia,Engineering and construction,1.0,1.0,,1.0,,Asia,Engineering and construction,,1.0,,1.0,1.0
danone,Europe,"Food, beverages and agriculture",1.0,1.0,1.0,,,Europe,"Food, beverages and agriculture",1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
deere,North America,Industrial goods,,,,,,North America,Industrial goods,,,,,,North America,Industrial goods,,1.0,,,,North America,Industrial goods,,1.0,,,,North America,Engineering and construction,,1.0,,1.0,
dell technologies,North America,Technology,1.0,1.0,,1.0,,North America,Technology,1.0,1.0,,1.0,,North America,Technology,1.0,1.0,,1.0,,North America,Technology,1.0,1.0,,1.0,1.0,North America,Technology,1.0,1.0,,1.0,
denso,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0,Asia,Automotive,,1.0,1.0,,1.0,Asia,Automotive,,1.0,1.0,,1.0
deutsche bank,Europe,Transportation and logistics,,1.0,1.0,,,Europe,Transportation and logistics,,1.0,1.0,,,Europe,Transportation and logistics,,1.0,1.0,,1.0,Europe,Transportation and logistics,,1.0,1.0,,,Europe,Financial services,1.0,,,1.0,1.0
deutsche post dhl group,Europe,Transportation and logistics,,,,1.0,,Europe,Transportation and logistics,,,,1.0,1.0,Europe,Transportation and logistics,,1.0,,1.0,,,,,,,,,,,,,,,
deutsche telekom,Europe,Telecommunications and media,1.0,1.0,1.0,1.0,,Europe,Telecommunications and media,1.0,1.0,1.0,1.0,,Europe,Telecommunications and media,1.0,1.0,,1.0,1.0,Europe,Telecommunications and media,1.0,1.0,,1.0,1.0,Europe,Telecommunications and media,1.0,1.0,,1.0,1.0
dollar general,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,,1.0
dollar tree,North America,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dongfeng motor,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,1.0,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,
dow,North America,Chemicals,,,1.0,,,North America,Chemicals,,,1.0,,1.0,North America,Chemicals,,,1.0,,,North America,Chemicals,,,1.0,,1.0,North America,Chemicals,,,1.0,,
dz bank,Europe,Financial services,,,,,,Europe,Financial services,,,,,,,,,,,,,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,,1.0,1.0
e.on,Europe,Energy and utilities,,,1.0,,,Europe,Energy and utilities,,1.0,1.0,,-1.0,Europe,Energy and utilities,,1.0,1.0,,1.0,Europe,Energy and utilities,,1.0,1.0,,1.0,Europe,Energy and utilities,,1.0,1.0,,
edeka zentrale,Europe,"Food, beverages and agriculture",,,,,,Europe,Retail,,,,,-1.0,Europe,Retail,,,,,,Europe,Retail,,,,1.0,,Europe,"Food, beverages and agriculture",,1.0,,1.0,
electricite de france,Europe,Energy and utilities,,1.0,1.0,,,Europe,Energy and utilities,,1.0,1.0,,1.0,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,-1.0
eli lilly,North America,Health care and pharmaceuticals,,,1.0,,,,,,,,,,,,,,,,,North America,Health care and pharmaceuticals,,,1.0,,1.0,North America,Health care and pharmaceuticals,,,1.0,,1.0
elo group,Europe,"Food, beverages and agriculture",,,,,,Europe,Retail,,,1.0,,,Europe,"Food, beverages and agriculture",,1.0,,,,Europe,Retail,,,,,,Europe,Retail,,,,,
enbridge,North America,Oil and gas,,,,1.0,,North America,Oil and gas,,,,1.0,1.0,North America,Energy and utilities,,,,1.0,,North America,Oil and gas,,,,1.0,1.0,North America,Energy and utilities,,,,1.0,1.0
enel,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,-1.0,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,1.0,Europe,Energy and utilities,,1.0,,1.0,-1.0
eneos holdings,Asia,Oil and gas,,,1.0,,,Asia,Oil and gas,,,1.0,,,Asia,Energy and utilities,,,1.0,,,Asia,Oil and gas,,,1.0,,1.0,Asia,Oil and gas,,,1.0,,1.0
energy transfer,North America,Oil and gas,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,
engie,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,-1.0,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,1.0,Europe,Energy and utilities,,1.0,,1.0,1.0
eni,Europe,Oil and gas,,,1.0,1.0,,Europe,Oil and gas,,,,1.0,,Europe,Energy and utilities,,,1.0,,1.0,Europe,Oil and gas,,,,1.0,1.0,Europe,Oil and gas,,,,1.0,1.0
enterprise products partners,North America,Oil and gas,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,
equinor,Europe,Oil and gas,,,1.0,1.0,,Europe,Oil and gas,,,1.0,1.0,,Europe,Energy and utilities,,,,1.0,,Europe,Oil and gas,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0
ericsson,Europe,Telecommunications and media,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exelon,North America,Energy and utilities,,,,1.0,,North America,Energy and utilities,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
exor group,Europe,Financial services,,,,,,Europe,Financial services,,,1.0,1.0,-1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,,,,,,,
exxon mobil,North America,Oil and gas,,,,,,North America,Oil and gas,,,,1.0,,North America,Energy and utilities,,,,1.0,,North America,Oil and gas,,,,1.0,1.0,North America,Oil and gas,,,,1.0,1.0
facebook,North America,Technology,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fannie mae,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
fedex,North America,Transportation and logistics,,,1.0,,,North America,Transportation and logistics,,,1.0,,1.0,North America,Transportation and logistics,,,1.0,,,North America,Transportation and logistics,,,1.0,,,North America,Transportation and logistics,,,1.0,,
financière de l'odet,Europe,Telecommunications and media,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finatis,Europe,"Food, beverages and agriculture",,,,,,Europe,Retail,,,,,,Europe,"Food, beverages and agriculture",,,,,,,,,,,,,,,,,,,
flex,Asia,Technology,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford motor,North America,Automotive,,1.0,1.0,,,North America,Automotive,,1.0,1.0,,,North America,Automotive,,1.0,1.0,,1.0,North America,Automotive,,1.0,1.0,,1.0,North America,Automotive,,1.0,1.0,,1.0
fortum,Europe,Energy and utilities,,,1.0,,,Europe,Energy and utilities,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
freddie mac,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
fresenius,Europe,Health care and pharmaceuticals,,,,,,Europe,Health care and pharmaceuticals,,,,1.0,,Europe,Health care and pharmaceuticals,,,1.0,,,,,,,,,,,,,,,,
fubon financial holding,Asia,Financial services,,,,,,Asia,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,
fujitsu,Asia,Technology,1.0,1.0,,1.0,,Asia,Technology,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
gazprom,Europe,Energy and utilities,,,,,,Europe,Oil and gas,,,,,,Europe,Energy and utilities,,,,,,Asia,Oil and gas,,,,,,Europe,Energy and utilities,,,,,1.0
general dynamics,North America,Aerospace and defense,,,,,,North America,Aerospace and defense,,,1.0,,1.0,North America,Aerospace and defense,,,,,,North America,Aerospace and defense,,,1.0,,,North America,Aerospace and defense,,,1.0,,
general electric,North America,Industrial goods,,,1.0,1.0,,North America,Industrial goods,,,1.0,1.0,1.0,North America,Industrial goods,,,,1.0,1.0,North America,Industrial goods,,,,1.0,1.0,,,,,,,
general motors,North America,Automotive,1.0,1.0,1.0,,,North America,Automotive,1.0,1.0,1.0,,,North America,Automotive,1.0,1.0,1.0,,,North America,Automotive,1.0,1.0,1.0,,,North America,Automotive,1.0,1.0,1.0,,1.0
george weston,North America,"Food, beverages and agriculture",,,,,,North America,Retail,,,,1.0,,North America,"Food, beverages and agriculture",,,,1.0,,North America,Retail,,,,1.0,1.0,North America,Retail,,,,1.0,
gilead sciences,North America,Health care and pharmaceuticals,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glaxosmithkline,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glencore,Europe,Industrial goods,,,,1.0,,Europe,Metals and mining,,,,1.0,-1.0,Europe,Energy and utilities,,,,1.0,,Europe,Metals and mining,,,,1.0,,Europe,Metals and mining,,,,1.0,
goldman sachs group,North America,Financial services,1.0,,1.0,1.0,,North America,Financial services,1.0,,1.0,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0
gree electric appliances,Asia,Technology,,,,,,Asia,Industrial goods,,,,,,,,,,,,,,,,,,,,,,,,,,
greenland holding group,Asia,Real estate,,,,,,Asia,Real estate,,,,,,Asia,Financial services,,,,,,Asia,Real estate,,,,,,Asia,Real estate,,,,,
groupe bpce,Europe,Financial services,,,,1.0,,Europe,Financial services,,,,1.0,-1.0,Europe,Financial services,,,1.0,,,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,,1.0,1.0
guangxi investment group,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
guangzhou automobile industry group,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0,Asia,Automotive,,,1.0,,
guangzhou municipal construction group,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,
guangzhou pharmaceutical holdings,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,
haier smart home,Asia,Technology,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,1.0,,Asia,Industrial goods,,,,,,Asia,Household and personal products,,,,1.0,
hailiang group,Asia,Financial services,,,,,,Asia,Financial services,,,,,,,,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,1.0,
hanwha,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
hbis group,Asia,Industrial goods,,,1.0,,,Asia,Metals and mining,,,1.0,,,Asia,Industrial goods,,,1.0,,,Asia,Metals and mining,,,1.0,,,Asia,Metals and mining,,,1.0,,
hca healthcare,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,1.0,,North America,Health care and pharmaceuticals,,,,1.0,
hengli group,Asia,Retail,,,,,,Asia,Household and personal products,,,,,,Asia,Industrial goods,,,,,,Asia,Household and personal products,,,,,,Asia,Household and personal products,,,,,
heraeus holding,Europe,Industrial goods,,,,,,Europe,Metals and mining,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
hewlett packard enterprise,North America,Technology,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitachi,Asia,Technology,,1.0,1.0,,,Asia,Industrial goods,,1.0,1.0,,,Asia,Technology,,1.0,1.0,,1.0,Asia,Industrial goods,,1.0,1.0,,1.0,Asia,Technology,,1.0,,1.0,
holcim,Europe,Industrial goods,,,,1.0,,Europe,Industrial goods,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
home depot,North America,Retail,,,,,,North America,Retail,1.0,,,,,North America,Retail,1.0,,,,,North America,Retail,1.0,1.0,,,,North America,Retail,1.0,1.0,,,
hon hai precision industry,Asia,Technology,,,,1.0,,Asia,Industrial goods,,,,1.0,,Asia,Technology,,1.0,,1.0,,Asia,Industrial goods,,1.0,,1.0,1.0,Asia,Technology,1.0,1.0,,1.0,
honda motor,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0
honeywell international,North America,Technology,,,1.0,,,North America,Industrial goods,,,1.0,,,North America,Industrial goods,,1.0,1.0,,1.0,North America,Industrial goods,,1.0,1.0,,,North America,Industrial goods,,1.0,1.0,,1.0
hp,North America,Technology,1.0,1.0,1.0,1.0,,North America,Technology,1.0,1.0,1.0,1.0,,North America,Technology,1.0,1.0,,1.0,1.0,North America,Technology,1.0,1.0,,1.0,1.0,North America,Technology,1.0,1.0,,1.0,1.0
hsbc holdings,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
huawei investment & holding,Asia,Technology,,,,,,Asia,Telecommunications and media,,,,,,Asia,Technology,,,,,,Asia,Telecommunications and media,,,,,,Asia,Technology,,,,,
huayang new material technology group,Asia,Industrial goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humana,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,,,
hyundai mobis,Asia,Automotive,,,,,,Asia,Automotive,1.0,,1.0,,,Asia,Automotive,1.0,,,1.0,,Asia,Automotive,1.0,,,1.0,1.0,Asia,Automotive,1.0,1.0,,1.0,
hyundai motor,Asia,Automotive,1.0,,1.0,,,Asia,Automotive,1.0,,1.0,,1.0,Asia,Automotive,1.0,,,1.0,,Asia,Automotive,1.0,,1.0,,1.0,Asia,Automotive,1.0,,1.0,,
iberdrola,Europe,Energy and utilities,,1.0,1.0,,,Europe,Energy and utilities,,1.0,1.0,,,Europe,Energy and utilities,,1.0,,1.0,-1.0,Europe,Energy and utilities,,1.0,,1.0,1.0,Europe,Energy and utilities,,1.0,,1.0,1.0
idemitsu kosan,Asia,Oil and gas,,,1.0,,,Asia,Oil and gas,,,1.0,,,Asia,Energy and utilities,,,1.0,,1.0,Asia,Oil and gas,,,1.0,,1.0,Asia,Oil and gas,,,1.0,,
indian oil,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,,,,Asia,Energy and utilities,,,,1.0,,Asia,Oil and gas,,,,1.0,1.0,Asia,Oil and gas,,,,1.0,1.0
industrial & commercial bank of china,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,1.0,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,1.0
industrial bank,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,1.0,,1.0
ing group,Europe,Financial services,1.0,,1.0,,,Europe,Retail,1.0,1.0,,1.0,,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,1.0,,1.0,-1.0
intel,North America,Technology,1.0,,1.0,,,North America,Industrial goods,1.0,,,1.0,-1.0,North America,Technology,1.0,,,1.0,,North America,Industrial goods,1.0,,,1.0,1.0,North America,Technology,1.0,,,1.0,1.0
international business machines,North America,Technology,,,,1.0,,North America,Technology,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
intesa sanpaolo,Europe,Financial services,,,,,,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,,Europe,Financial services,,1.0,,1.0,1.0
itau unibanco holding,Other,Financial services,,,,,,Other,Financial services,,,1.0,1.0,1.0,Other,Financial services,,,,1.0,1.0,Other,Financial services,,,,1.0,1.0,Other,Financial services,,,,1.0,1.0
itochu,Asia,Financial services,,,1.0,1.0,,Asia,Financial services,,,1.0,1.0,1.0,Asia,Retail,,,,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
j. sainsbury,Europe,"Food, beverages and agriculture",,1.0,,1.0,,Europe,Retail,,1.0,,1.0,-1.0,Europe,"Food, beverages and agriculture",,1.0,,1.0,,Europe,Retail,,1.0,,1.0,,Europe,Retail,,1.0,,1.0,
jabil,North America,Technology,,,,,,North America,Industrial goods,,,1.0,,,North America,Technology,,,1.0,,,North America,Industrial goods,,,1.0,,,,,,,,,
japan post holdings,Asia,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,-1.0,Asia,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,
jardine matheson,North America,Automotive,,,,,,North America,Automotive,,,,,,North America,Automotive,,,,,,Other,Automotive,,,,1.0,,Asia,Automotive,,,,1.0,
jbs,Other,"Food, beverages and agriculture",,,,1.0,,Other,"Food, beverages and agriculture",,,,1.0,-1.0,Other,"Food, beverages and agriculture",,,,1.0,,Other,"Food, beverages and agriculture",,,,1.0,1.0,Europe,"Food, beverages and agriculture",,,,1.0,
jd.com,Asia,Technology,,,,,,Asia,Retail,,,1.0,,1.0,Asia,Retail,,,,,,Asia,Retail,,,,,,Asia,Retail,,,,,
jfe holdings,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,1.0,,,Asia,Industrial goods,,,1.0,,,Asia,Metals and mining,,,1.0,,,,,,,,,
jiangsu shagang group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
jiangxi copper,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
jinchuan group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
jinneng holding group,Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
johnson & johnson,North America,Health care and pharmaceuticals,1.0,1.0,1.0,1.0,,North America,Health care and pharmaceuticals,1.0,1.0,1.0,,,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0
jpmorgan chase,North America,Financial services,1.0,,1.0,,,North America,Financial services,1.0,,1.0,,,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
kansai electric power,Asia,Energy and utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kb financial group,Asia,Financial services,,,,1.0,,Asia,Financial services,,1.0,1.0,,-1.0,Asia,Financial services,1.0,1.0,,1.0,,Asia,Financial services,1.0,1.0,,1.0,1.0,Asia,Financial services,1.0,1.0,,1.0,
kddi,Asia,Telecommunications and media,,,,1.0,,Asia,Telecommunications and media,1.0,1.0,,1.0,,Asia,Telecommunications and media,1.0,1.0,,1.0,1.0,Asia,Telecommunications and media,1.0,1.0,1.0,,1.0,Asia,Telecommunications and media,1.0,1.0,,1.0,1.0
kia,Asia,Automotive,,,,,,Asia,Automotive,1.0,,1.0,,,Asia,Automotive,1.0,,1.0,,1.0,Asia,Automotive,1.0,,,1.0,1.0,Asia,Automotive,1.0,,1.0,,
koc holding,Other,Energy and utilities,,,1.0,,,Other,Energy and utilities,,,1.0,,,Other,Energy and utilities,,,1.0,,,Asia,Energy and utilities,,,1.0,,,Europe,Energy and utilities,,,1.0,,
tokyo electric power,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,1.0,,,Asia,Energy and utilities,,,,1.0,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,1.0,,1.0
kraft heinz,North America,"Food, beverages and agriculture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroger,North America,"Food, beverages and agriculture",,,,,,North America,Retail,,,,,,North America,"Food, beverages and agriculture",,,,,,North America,Retail,,,,,,North America,Retail,,,,,
la poste,Europe,Transportation and logistics,1.0,1.0,1.0,,,Europe,Transportation and logistics,1.0,1.0,1.0,1.0,1.0,Europe,Transportation and logistics,,1.0,,1.0,1.0,Europe,Transportation and logistics,,1.0,,1.0,,Europe,Transportation and logistics,1.0,1.0,,1.0,
legal & general group,Europe,Financial services,,,,1.0,,Europe,Financial services,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
lenovo group,Asia,Technology,,1.0,,,,Asia,Technology,,1.0,,1.0,1.0,Asia,Technology,,1.0,,1.0,,Asia,Technology,,1.0,,1.0,1.0,Asia,Technology,,1.0,,1.0,
lg chem,Asia,Chemicals,,,,,,Asia,Chemicals,,,,1.0,1.0,Asia,Chemicals,,,,1.0,1.0,Asia,Chemicals,,,,1.0,1.0,Asia,Chemicals,,,,1.0,1.0
lg electronics,Asia,Technology,,,1.0,,,Asia,Industrial goods,,1.0,1.0,,,Asia,Technology,1.0,1.0,1.0,,1.0,Asia,Industrial goods,1.0,1.0,1.0,,1.0,Asia,Technology,1.0,1.0,1.0,,1.0
liberty mutual insurance group,North America,Financial services,,,,,,North America,Financial services,,,,,-1.0,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
linde,Europe,Chemicals,,,,,,Europe,Chemicals,,,,,,Europe,Chemicals,,1.0,1.0,,,Europe,Chemicals,,1.0,1.0,,,Europe,Chemicals,,1.0,1.0,,
lloyds banking group,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,1.0,1.0,,,,,,,,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
lockheed martin,North America,Aerospace and defense,,,,,,North America,Aerospace and defense,,,,,,North America,Aerospace and defense,,,,,,North America,Aerospace and defense,,,,,,North America,Aerospace and defense,,,,,
longfor group holdings,Asia,Real estate,,,,,,Asia,Real estate,,,,,,Asia,Financial services,,,,,1.0,,,,,,,,,,,,,,
l'oreal,Europe,Household and personal products,,1.0,1.0,1.0,,Europe,Household and personal products,,1.0,1.0,1.0,,Europe,Household and personal products,,1.0,,1.0,1.0,Europe,Household and personal products,,1.0,,1.0,-1.0,Europe,Household and personal products,,1.0,,1.0,1.0
louis dreyfus,Europe,"Food, beverages and agriculture",,,,,,Europe,"Food, beverages and agriculture",,,,,,Europe,"Food, beverages and agriculture",,,,,,Europe,"Food, beverages and agriculture",,,,,,Europe,"Food, beverages and agriculture",,,,,1.0
lowe's,North America,Retail,,,,,,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,
lukoil,Europe,Oil and gas,,,,,,Europe,Oil and gas,,,,,,,,,,,,,Asia,Oil and gas,,,,1.0,,Europe,Oil and gas,,,,,
lyondellbasell industries,Europe,Chemicals,,,,,,Europe,Chemicals,,,,1.0,1.0,Europe,Chemicals,,,,1.0,,Europe,Chemicals,,,,1.0,1.0,Europe,Chemicals,,,,1.0,
maersk group,Europe,Transportation and logistics,,,1.0,1.0,,Europe,Transportation and logistics,,,,1.0,1.0,Europe,Transportation and logistics,,,,1.0,,Europe,Transportation and logistics,,1.0,,1.0,1.0,Europe,Transportation and logistics,,1.0,,1.0,1.0
magna international,North America,Automotive,,,1.0,,,North America,Automotive,,,1.0,,,North America,Automotive,,,1.0,,1.0,North America,Automotive,,1.0,,1.0,,North America,Automotive,,1.0,,1.0,1.0
