company,re100,sbti,cn,nz,cc
energy transfer,00000,00000,00000,00000,-----
engie,00000,11111,00000,11110,--1-11
eni,00000,00000,10100,11010,--111
enterprise products partners,00000,00000,00000,00000,-----
equinor,00000,00000,11000,11110,----1
ericsson,0----,1----,1----,0----,-----
exelon,00---,00---,00---,11---,-----
exor group,0000-,0000-,0100-,0111-,--111-
exxon mobil,00000,00000,00000,01110,---11
facebook,1----,0----,0----,1----,-----
fannie mae,00000,00000,00000,00000,-----
fedex,00000,00000,11110,00001,-1---
financière de l'odet,0----,0----,1----,0----,-----
finatis,000--,000--,000--,000--,-----
flex,0----,1----,0----,0----,-----
ford motor,00000,11111,11110,00001,--111
fortum,00---,00---,11---,00---,-----
freddie mac,00000,00000,00000,00000,-----
fresenius,000--,000--,001--,010--,-----
fubon financial holding,00---,00---,00---,00---,-----
fujitsu,11---,11---,00---,11---,-1---
gazprom,00000,00000,00000,00000,----1
general dynamics,00000,00000,01010,00001,-1---
general electric,0000-,0000-,1100-,1111-,-111-
general motors,11111,11111,11110,00001,----1
george weston,00000,00000,00000,01110,---1-
gilead sciences,0----,1----,0----,0----,-----
glaxosmithkline,1----,1----,0----,1----,-----
glencore,00000,00000,00000,11110,--1---
goldman sachs group,11111,00000,11000,11110,-1111
gree electric appliances,00---,00---,00---,00---,-----
greenland holding group,00000,00000,00001,00000,-----
groupe bpce,00000,00000,00110,11000,--1-11
guangxi investment group,00000,00000,00001,00000,-----
guangzhou automobile industry group,00000,00000,00110,00001,---1-
guangzhou municipal construction group,00000,00000,00000,00000,-----
guangzhou pharmaceutical holdings,00000,00000,00000,00000,-----
haier smart home,00000,00000,00000,00100,-----
hailiang group,00-00,00-00,00-00,00-00,-----
hanwha,00000,00000,00000,00010,---11
hbis group,00000,00000,11110,00001,-----
hca healthcare,00000,00000,00000,00010,-----
hengli group,00000,00000,00001,00000,-----
heraeus holding,00---,00---,01---,00---,-----
hewlett packard enterprise,1----,1----,0----,1----,-----
hitachi,00000,11111,11110,00000,--11-
holcim,00---,01---,00---,11---,-----
home depot,01111,00011,00000,00000,-----
hon hai precision industry,00001,00111,00000,11110,---1-
honda motor,00000,00000,11110,00001,-1--1
honeywell international,00000,00111,11110,00001,--1-1
hp,11111,11111,11000,11110,--111
hsbc holdings,11111,00000,00000,11110,---11
huawei investment & holding,00000,00000,00000,00000,-----
huayang new material technology group,0----,0----,0----,0----,-----
humana,00000,00011,00000,00000,-----
hyundai mobis,01111,00001,01000,00110,---1-
hyundai motor,11111,00000,11010,00101,-1-1-
iberdrola,00000,11111,11000,00110,---111
idemitsu kosan,00000,00000,11110,00001,--11-
indian oil,00000,00000,00000,00110,---11
industrial & commercial bank of china,00000,00000,00101,00000,----1
industrial bank,00000,00000,00000,00001,----1
ing group,11111,01001,10000,01110,--11-1
intel,11111,00000,10000,01110,--1-11
international business machines,00---,00---,00---,11---,-----
intesa sanpaolo,00000,00001,00000,01110,-11-1
itau unibanco holding,00000,00000,01000,01110,-1111
itochu,00000,00000,11000,11110,-1-11
j. sainsbury,00000,11111,00000,11110,--1---
jabil,0000-,0000-,0111-,0000-,-----
japan post holdings,00000,00000,11110,00001,--1---
jardine matheson,00000,00000,00000,00010,-----
jbs,00000,00000,00000,11110,--1-1-
jd.com,00000,00000,01001,00000,-1---
jfe holdings,0000-,0000-,0111-,0000-,-----
jiangsu shagang group,00000,00000,00001,00000,-----
jiangxi copper,00000,00000,00001,00000,-----
jinchuan group,00000,00000,00001,00000,-----
jinneng holding group,00000,00000,00000,00000,-----
johnson & johnson,11111,11111,11000,10110,--1-1
jpmorgan chase,11100,00000,11000,00110,--111
kansai electric power,0----,0----,0----,0----,-----
kb financial group,00111,01111,01000,10110,--1-1-
kddi,01111,01111,00010,11100,--111
kia,01111,00000,01100,00011,--11-
koc holding,00000,00000,11110,00001,-----
tokyo electric power,00000,00000,01000,00101,----1
kraft heinz,0----,0----,0----,0----,-----
kroger,00000,00000,00000,00000,-----
la poste,11001,11111,11000,01110,-11--
legal & general group,00---,00---,00---,11---,-----
lenovo group,00000,11111,00000,01110,-1-1-
lg chem,00000,00000,00000,01110,-1111
lg electronics,00111,01111,11110,00001,--111
liberty mutual insurance group,00000,00000,00000,00000,--1---
linde,00000,00111,00110,00001,-----
lloyds banking group,11-11,00-00,00-00,11-10,-1-11
lockheed martin,00000,00000,00000,00000,-----
longfor group holdings,000--,000--,000--,000--,--1--
l'oreal,00000,11111,11000,11110,--1-11
louis dreyfus,00000,00000,00000,00000,----1
lowe's,00000,00000,00000,01110,-----
lukoil,00-00,00-00,00-00,00-10,-----
lyondellbasell industries,00000,00000,00000,01110,-1-1-
maersk group,00000,00011,10000,11110,-1-11
magna international,00000,00011,11100,00010,--1-1
manulife financial,00---,00---,00---,11---,--1---
mapfre group,0--00,0--00,1--10,0--01,----1
marathon petroleum,00000,00000,00000,00000,-----
marubeni,00000,00000,00000,11110,---1-
mazda motor,0--00,0--00,0--10,0--01,----1
mckesson,00000,00111,01000,00000,-----
medipal holdings,00---,00---,00---,00---,-----
medtronic,000-0,000-1,110-0,011-0,-1--1
meiji yasuda life insurance,00000,00000,00000,11110,---1-
merck,00000,01111,11110,00000,-1-11
metlife,00000,00000,11000,01110,-1111
metro,00000,11110,11110,00001,-----
microsoft,11111,11111,11010,11101,--111
midea group,00000,00000,00001,00000,--1---
migros group,00000,01111,01000,01110,-1111
mitsubishi,0-000,0-000,0-000,0-110,---11
mitsubishi chemical holdings,000--,000--,011--,000--,-1---
mitsubishi electric,00000,11111,00000,11110,-----
mitsubishi heavy industries,00000,00000,00100,01010,-1---
mitsubishi ufj financial group,00000,00000,10100,11010,--111
mitsui,00000,01000,10000,11100,-1--1
mizuho financial group,00000,00000,11000,01110,--1-1-1
mondelez international,00000,11111,00000,01110,-----
morgan stanley,11110,00000,11000,11110,--1111
ms&ad insurance group holdings,00000,00000,00000,11110,-----
munich re group,00000,00000,11000,11110,-1111
nationwide,00000,00000,00000,00110,--111
nec,1----,1----,1----,0----,-----
nestlé,111-1,111-1,000-0,111-0,-----1
netflix,01000,11111,00000,11110,-1-11
new hope holding group,00000,00000,00000,00001,--1---
new york life insurance,00000,00000,00000,00110,---1-
nike,11111,11111,00000,00110,---1-
nippon life insurance,00011,00000,10000,01110,-----
nippon steel corporation,0000-,0000-,1111-,0000-,--11-
nippon telegraph and telephone,0000-,0010-,0111-,0000-,--1--
nissan motor,00000,11111,11110,00001,--111
