2024,,,,2025,,,
Company name,Sector (final classification),Region,NZ,Company name,Sector (final classification),Region,NZ
PepsiCo,"Food, beverages and agriculture",North America,1,George Weston,Retail,North America,1
Performance Food Group,Retail,North America,1,Orange,Telecommunications and media,Europe,1
Pertamina,Oil and gas,Asia,,ZF Friedrichshafen,Automotive,Europe,0
Petrobras,Oil and gas,Other,,Telefonica,Telecommunications and media,Europe,1
Petronas,Oil and gas,Asia,1,Tokyo Electric Power,Energy and utilities,Asia,0
Pfizer,Health care and pharmaceuticals,North America,1,Woolworths Group,Retail,Other,1
Philip Morris International,"Food, beverages and agriculture",North America,1,Vodafone Group,Telecommunications and media,Europe,1
Phillips 66,Oil and gas,North America,,Uber Technologies,Retail,North America,1
Phoenix Pharma,Retail,Europe,1,Quanta Computer,Technology,Asia,1
Ping An Insurance,Financial services,Asia,,Fomento Económico Mexicano,"Food, beverages and agriculture",Other,0
Plains GP Holdings,Oil and gas,North America,,MS&AD Insurance Group Holdings,Financial services,Asia,1
POSCO Holdings,Metals and mining,Asia,,China National Building Material Group,Industrial goods,Asia,0
Power Corp. of Canada,Financial services,North America,,Sinomach,Industrial goods,Asia,0
PowerChina,Engineering and construction,Asia,,DZ Bank,Financial services,Europe,1
Procter & Gamble,Household and personal products,North America,1,Massachusetts Mutual Life Insurance,Financial services,North America,1
Progressive,Financial services,North America,1,Dow,Chemicals,North America,0
Prudential Financial,Financial services,North America,1,ANZ Group Holdings,Financial services,Other,0
PTT,Oil and gas,Asia,1,Continental,Automotive,Europe,0
Publix Super Markets,Retail,North America,,Commonwealth Bank of Australia,Financial services,Other,1
Qualcomm,Industrial goods,North America,1,Thermo Fisher Scientific,Health care and pharmaceuticals,North America,1
Quanta Computer,Technology,Asia,,Magna International,Automotive,North America,1
Rabobank Group,Financial services,Europe,,U.S. Bancorp,Financial services,North America,1
Raizen,Oil and gas,Other,,Caixa Econômica Federal,Financial services,Other,1
Rajesh Exports,Financial services,Asia,,Fairfax Financial Holdings,Financial services,North America,0
Reliance Industries,Oil and gas,Asia,1,J. Sainsbury,Retail,Europe,1
Renault,Automotive,Europe,1,Zijin Mining Group,Metals and mining,Asia,0
Repsol,Oil and gas,Europe,1,World Kinect,Energy and utilities,North America,1
Rio Tinto Group,Metals and mining,Europe,1,X5 Retail Group,Retail,Europe,0
Roche Group,Health care and pharmaceuticals,Europe,1,Novo Nordisk,Health care and pharmaceuticals,Europe,1
Rosneft Oil,Oil and gas,Europe,,Olam Group,"Food, beverages and agriculture",Asia,1
Royal Ahold Delhaize,Retail,Europe,1,Compass Group,Industrial goods,Europe,1
Royal Bank of Canada,Financial services,North America,1,Hyundai Mobis,Automotive,Asia,1
RTX,Aerospace and Defense,North America,1,Abbott Laboratories,Health care and pharmaceuticals,North America,1
S.F. Holding,Transportation and logistics,Asia,,Standard Chartered,Financial services,Europe,1
SAIC Motor,Automotive,Asia,,Shanghai Construction Group,Engineering and construction,Asia,0
Saint-Gobain,Industrial goods,Europe,1,Inditex,Retail,Europe,1
Salesforce,Technology,North America,1,Best Buy,Retail,North America,1
Samsung C&T,Financial services,Asia,,Northwestern Mutual,Financial services,North America,0
Samsung Electronics,Industrial goods,Asia,1,Schneider Electric,Technology,Europe,1
Sanofi,Health care and pharmaceuticals,Europe,1,KB Financial Group,Financial services,Asia,1
SAP,Technology,Europe,1,Northrop Grumman,Aerospace and defense,North America,1
Saudi Aramco,Metals and mining,Asia,1,National Australia Bank,Financial services,Other,1
Sberbank,Financial services,Asia,,Hanwha,Financial services,Asia,1
Schlumberger,Oil and gas,North America,1,Molina Healthcare,Health care and pharmaceuticals,North America,0
Schneider Electric,Industrial goods,Europe,1,Lufthansa Group,Transportation and logistics,Europe,0
Seven & I Holdings,Retail,Asia,1,Dollar General,Retail,North America,0
Shaanxi Coal & Chemical Industry,Metals and mining,Asia,,LyondellBasell Industries,Chemicals,Europe,1
Shaanxi Construction Engineering Holding,Engineering and Construction,Asia,,China Minsheng Banking,Financial services,Asia,0
Shaanxi Yanchang Petroleum (Group),Metals and mining,Asia,,GSK,Health care and pharmaceuticals,Europe,1
Shandong Energy Group,Metals and mining,Asia,,Bank of New York (BNY),Financial services,North America,0
Shandong Hi-Speed Group,Transportation and logistics,Asia,,Haier Smart Home,Household and personal products,Asia,1
Shandong Weiqiao Pioneering Group,Household and personal products,Asia,1,Cenovus Energy,Metals and mining,North America,1
Shanghai Construction Group,Engineering and construction,Asia,,Coop Group,Retail,Europe,1
Shanghai Delong Steel Group,Metals and mining,Asia,,S.F. Holding,Transportation and logistics,Asia,1
Shanghai Pharmaceuticals Holding,Retail,Asia,,Hangzhou Industrial Investment Group,Financial services,Asia,0
Shanghai Pudong Development Bank,Financial services,Asia,,Warner Bros. Discovery,Telecommunications and media,North America,1
Shanxi Coking Coal Group,Metals and mining,Asia,,CHS,"Food, beverages and agriculture",North America,0
Shell,Oil and gas,Europe,1,Enbridge,Energy and utilities,North America,1
Shenghong Holding Group,Chemicals,Asia,,Netflix,Telecommunications and media,North America,1
Shenzhen Investment Holdings,Financial services,Asia,,Qualcomm,Technology,North America,1
Shougang Group,Metals and mining,Asia,,KDDI,Telecommunications and media,Asia,1
Shudao Investment Group,Engineering and construction,Asia,,Shandong Hi-Speed Group,Transportation and logistics,Asia,0
Siemens,Industrial goods,Europe,1,General Electric (GE Aerospace),Aerospace and defense,North America,1
Siemens Energy,Energy and utilities,Europe,1,Mercadona,Retail,Europe,0
Sinochem Holdings,Chemicals,Asia,,Honeywell International,Industrial goods,North America,0
Sinomach,Industrial goods,Asia,,Hangzhou Iron and Steel Group,Metals and mining,Asia,0
Sinopec Group,Oil and gas,Asia,,Guangzhou Industrial Investment Holdings,Industrial goods,Asia,0
Sinopharm,Health care and pharmaceuticals,Asia,,Shanghai Pharmaceuticals Holding,Health care and pharmaceuticals,Asia,0
SK,Oil and gas,Asia,,Suzuki Motor,Automotive,Asia,0
SNCF Group,Transportation and logistics,Europe,1,Vale,Metals and mining,Other,1
Societe Generale,Financial services,Europe,,ThyssenKrupp,Metals and mining,Europe,1
SoftBank Group,Telecommunications and media,Asia,1,Salesforce,Technology,North America,1
Sompo Holdings,Financial services,Asia,1,Philip Morris International,Household and personal products,North America,1
Sony,Industrial goods,Asia,1,US Foods Holding,"Food, beverages and agriculture",North America,0
Standard Chartered,Financial services,Europe,1,Shenzhen Investment Holdings,Financial services,Asia,0
Starbucks,"Food, beverages and agriculture",North America,1,Westpac Banking,Financial services,Other,1
State Bank of India,Financial services,Asia,1,Jiangsu Shagang Group,Metals and mining,Asia,0
State Farm Insurance,Financial services,North America,,AIA Group,Financial services,Asia,1
State Grid,Energy and utilities,Asia,,Guangdong Guangxin Holdings,Financial services,Asia,0
State Power Investment,Energy and utilities,Asia,,QNB Group,Financial services,Other,0
Stellantis,Automotive,Europe,1,NatWest Group,Financial services,Europe,1
StoneX Group,Financial services,North America,,La Poste,Transportation and logistics,Europe,1
Subaru,Automotive,Asia,,Siemens Energy,Energy and utilities,Europe,0
Sumitomo,Financial services,Asia,,Luxshare Precision Industry,Technology,Asia,0
Sumitomo Mitsui Financial Group,Financial services,Asia,1,Energie Baden-Wurttemberg,Energy and utilities,Europe,0
Suncor Energy,Oil and gas,North America,,Suncor Energy,Oil and gas,North America,1
Susun Construction Group,Engineering and construction,Asia,,New Hope Holding Group,"Food, beverages and agriculture",Asia,0
Suzuki Motor,Automotive,Asia,,China Electronics,Technology,Asia,0
Swiss Re,Financial services,Europe,1,LG Chem,Chemicals,Asia,1
Sysco,Retail,North America,,SAP,Technology,Europe,1
Taikang Insurance Group,Financial services,Asia,,Migros Group,Retail,Europe,1
Taiwan Semiconductor Manufacturing,Industrial goods,Asia,1,Meiji Yasuda Life Insurance,Financial services,Asia,1
Talanx,Financial services,Europe,1,D.R. Horton,Engineering and construction,North America,0
Target,Retail,North America,1,OMV Group,Oil and gas,Europe,1
Tata Motors,Automotive,Asia,,Lithia Motors,Retail,North America,0
TD Synnex,Retail,North America,1,CFE,Energy and utilities,Other,0
Telefonica,Telecommunications and media,Europe,1,Mondelez International,"Food, beverages and agriculture",North America,1
Tencent Holdings,Technology,Asia,,Schlumberger,Oil and gas,North America,1
Tesco,Retail,Europe,1,Ansteel Group,Metals and mining,Asia,0
Tesla,Automotive,North America,,Mitsubishi Electric,Technology,Asia,1
Thermo Fisher Scientific,Industrial goods,North America,1,Jerónimo Martins,Retail,Europe,1
ThyssenKrupp,Metals and mining,Europe,,Starbucks,"Food, beverages and agriculture",North America,1
TIAA,Financial services,North America,1,Hailiang Group,Financial services,Asia,1
TJX,Retail,North America,1,Mapfre Group,Financial services,Europe,0
Tokio Marine Holdings,Financial services,Asia,1,CK Hutchison Holdings,Retail,Asia,1
Tokyo Electric Power,Energy and utilities,Asia,1,ELO Group,Retail,Europe,0
TongLing Nonferrous Metals Group,Metals and mining,Asia,,Visa,Financial services,North America,1
Tongwei Group,Energy and utilities,Asia,,China Datang,Energy and utilities,Asia,0
Toronto-Dominion Bank,Financial services,North America,1,CRRC Group,Industrial goods,Asia,0
TotalEnergies,Oil and gas,Europe,,Jardine Matheson,Automotive,Asia,1
Toyota Motor,Automotive,Asia,,Sompo Holdings,Financial services,Asia,1
Toyota Tsusho,Financial services,Asia,1,TongLing Nonferrous Metals Group,Metals and mining,Asia,0
Trafigura Group,Financial services,Asia,,CBRE Group,Real estate,North America,1
Travelers,Financial services,North America,,Rabobank Group,Financial services,Europe,0
Truist Financial,Financial services,North America,1,Shudao Investment Group,Engineering and construction,Asia,0
Tsingshan Holding Group,Metals and mining,Asia,,Guangzhou Municipal Construction Group,Engineering and construction,Asia,0
Tyson Foods,"Food, beverages and agriculture",North America,1,Daiwa House Industry,Engineering and construction,Asia,1
U.S. Bancorp,Financial services,North America,1,CRH,Industrial goods,Europe,1
U.S. Postal Service,Transportation and logistics,North America,,Lennar,Engineering and construction,North America,0
Uber Technologies,Technology,North America,1,Guangzhou Pharmaceutical Holdings,Health care and pharmaceuticals,Asia,0
UBS Group,Financial services,Europe,1,Country Garden Holdings,Real estate,Asia,0
UniCredit Group,Financial services,Europe,1,Pegatron,Technology,Asia,1
Unilever,Household and personal products,Europe,1,GE Vernova,Energy and utilities,North America,1
Uniper,Energy and utilities,Europe,,GS Caltex,Oil and gas,Asia,0
United Airlines Holdings,Transportation and logistics,North America,1,ICICI Bank,Financial services,Asia,0
United Parcel Service,Transportation and logistics,North America,,Shandong Gold Group,Metals and mining,Asia,0
UnitedHealth Group,Health care and pharmaceuticals,North America,1,International Airlines Group,Transportation and logistics,Europe,1
US Foods Holding,Retail,North America,,Shanghai Delong Steel Group,Metals and mining,Asia,0
USAA,Financial services,North America,,PNC Financial Services Group,Financial services,North America,0
Vale,Metals and mining,Other,1,Perusahaan Listrik Negara,Energy and utilities,Asia,1
Valero Energy,Oil and gas,North America,,Emirates Group,Transportation and logistics,Other,0
Veolia Environnement,Energy and utilities,Europe,1,Beijing Jianlong Heavy Industry Group,Metals and mining,Asia,0
Verizon Communications,Telecommunications and media,North America,1,Cummins,Industrial goods,North America,1
Vibra Energia,Oil and gas,Other,,China National Coal Group,Metals and mining,Asia,0
Vinci,Engineering and construction,Europe,,Air France-KLM Group,Transportation and logistics,Europe,1
Visa,Financial services,North America,,Sumitomo Life Insurance,Financial services,Asia,1
Vodafone Group,Telecommunications and media,Europe,1,Paccar,Engineering and construction,North America,0
Volkswagen,Automotive,Europe,,Metro,"Food, beverages and agriculture",Europe,0
Volvo,Automotive,Europe,,BAE Systems,Aerospace and defense,Europe,1
VTB Bank,Financial services,Asia,,Tongwei Group,Energy and utilities,Asia,0
Walgreens Boots Alliance,Retail,North America,1,Greenland Holding Group,Real estate,Asia,0
Walmart,Retail,North America,1,China National Aviation Fuel Group,Financial services,Asia,0
Walt Disney,Telecommunications and media,North America,1,Amgen,Health care and pharmaceuticals,North America,0
Warner Bros. Discovery,Telecommunications and media,North America,,Hunan Iron & Steel Group,Metals and mining,Asia,0
Wells Fargo,Financial services,North America,1,St. James's Place,Financial services,Europe,1
Wilmar International,"Food, beverages and agriculture",Asia,,PBF Energy,Oil and gas,North America,0
Woolworths Group,Retail,Other,1,British American Tobacco,Household and personal products,Europe,1
World Kinect,Energy and utilities,North America,,Linde,Chemicals,Europe,0
Wuchan Zhongda Group,Financial services,Asia,,Mitsubishi Heavy Industries,Industrial goods,Asia,1
X5 Retail Group,Retail,Asia,,Guangxi Investment Group,Financial services,Asia,0
Xiamen C&D,Financial services,Asia,,GuideWell Mutual Holding,Health care and pharmaceuticals,North America,0
Xiamen ITG Holding Group,Financial services,Asia,,Mazda Motor,Automotive,Asia,0
Xiaomi,Industrial goods,Asia,,ABB,Industrial goods,Europe,1
XMXYG,Financial services,Asia,,Magnit,Retail,Europe,1
ZF Friedrichshafen,Automotive,Europe,,CPC,Oil and gas,Asia,1
Zhejiang Communications Investment Group,Transportation and logistics,Asia,,Ecopetrol,Metals and mining,Other,1
Zhejiang Geely Holding Group,Automotive,Asia,,Wistron,Technology,Asia,1
Zhejiang Hengyi Group,Chemicals,Asia,,Medtronic,Health care and pharmaceuticals,Europe,1
Zhejiang Rongsheng Holding Group,Chemicals,Asia,,New China Life Insurance,Financial services,Asia,0
Zijin Mining Group,Metals and mining,Asia,,China General Technology,Financial services,Asia,0
Zurich Insurance Group,Financial services,Europe,1,Heineken,"Food, beverages and agriculture",Europe,1
