2024,,,,2025,,,
Company name,Sector (final classification),Region,NZ,Company name,Sector (final classification),Region,NZ
China Electronics Technology Group,Aerospace and defense,Asia,,Reliance Industries,Oil and gas,Asia,1
China Energy Engineering Group,Engineering and construction,Asia,,Societe Generale,Financial services,Europe,0
China Energy Investment,Metals and mining,Asia,,Rosneft Oil,Oil and gas,Europe,0
China FAW Group,Automotive,Asia,,BYD,Automotive,Asia,0
China Huadian,Energy and utilities,Asia,,China Energy Investment,Energy and utilities,Asia,0
China Huaneng Group,Energy and utilities,Asia,,Morgan Stanley,Financial services,North America,1
China Life Insurance,Financial services,Asia,,Target,Retail,North America,1
China Merchants Bank,Financial services,Asia,,Life Insurance Corp. of India,Financial services,Asia,0
China Minmetals,Metals and mining,Asia,,Equinor,Oil and gas,Europe,1
China Minsheng Banking,Financial services,Asia,,Nestlé,"Food, beverages and agriculture",Europe,1
China Mobile Communications,Telecommunications and media,Asia,,Xiamen C&D,Financial services,Asia,0
China National Aviation Fuel Group,Oil and gas,Asia,,StoneX Group,Financial services,North America,1
China National Building Material Group,Industrial goods,Asia,1,PowerChina,Engineering and construction,Asia,0
China National Coal Group,Metals and mining,Asia,,Royal Bank of Canada,Financial services,North America,1
China National Nuclear,Energy and utilities,Asia,,Sberbank,Financial services,Europe,0
China National Offshore Oil,Metals and mining,Asia,,AXA,Financial services,Europe,1
China National Petroleum,Oil and gas,Asia,,ENI,Oil and gas,Europe,1
China North Industries Group,Aerospace and defense,Asia,,Bosch Group,Automotive,Europe,0
China Pacific Insurance (Group),Financial services,Asia,,Tesla,Automotive,North America,0
China Poly Group,Real estate,Asia,,China Post Group,Transportation and logistics,Asia,0
China Post Group,Transportation and logistics,Asia,,Royal Ahold Delhaize,Retail,Europe,1
China Railway Construction,Engineering and construction,Asia,,Itochu,Financial services,Asia,1
China Railway Engineering Group,Engineering and construction,Asia,,Mitsui,Financial services,Asia,1
China Resources,Health care and pharmaceuticals,Asia,,Dell Technologies,Technology,North America,1
China South Industries Group,Aerospace and defense,Asia,,REWE Group,Retail,Europe,1
China Southern Power Grid,Energy and utilities,Asia,,Carrefour,Retail,Europe,0
China State Construction Engineering,Engineering and construction,Asia,,SK,Oil and gas,Asia,1
China State Shipbuilding,Transportation and logistics,Asia,,PepsiCo,"Food, beverages and agriculture",North America,1
China Telecommunications,Telecommunications and media,Asia,,Tencent Holdings,Retail,Asia,1
China United Network Communications,Telecommunications and media,Asia,,Christian Dior,Retail,Europe,0
China Vanke,Real estate,Asia,,Zhejiang Rongsheng Holding Group,Chemicals,Asia,0
Christian Dior,Household and personal products,Europe,,Sinopharm,Health care and pharmaceuticals,Asia,0
CHS,"Food, beverages and agriculture",North America,,Petrobras,Oil and gas,Other,1
Chubb,Financial services,Europe,,Pemex,Metals and mining,Other,1
Cigna,Health care and pharmaceuticals,North America,,Walt Disney,Telecommunications and media,North America,1
Cisco Systems,Telecommunications and media,North America,1,United Parcel Service,Transportation and logistics,North America,0
CITIC Group,Financial services,Asia,,DHL Group,Transportation and logistics,Europe,1
Citigroup,Financial services,North America,1,Credit Agricole,Financial services,Europe,1
CK Hutchison Holdings,Retail,Asia,1,Taiwan Semiconductor Manufacturing,Technology,Asia,1
Coca-Cola,"Food, beverages and agriculture",North America,1,Indian Oil,Oil and gas,Asia,1
COFCO,Financial services,Asia,,NTT,Telecommunications and media,Asia,1
Comcast,Telecommunications and media,North America,,Tesco,Retail,Europe,1
Commonwealth Bank of Australia,Financial services,Other,1,Mitsubishi UFJ Financial Group,Financial services,Asia,1
Compass Group,"Food, beverages and agriculture",Europe,1,Johnson & Johnson,Health care and pharmaceuticals,North America,1
ConocoPhillips,Metals and mining,North America,1,Toronto-Dominion Bank,Financial services,North America,1
Contemporary Amperex Technology,Automotive,Asia,,COFCO,Financial services,Asia,0
Continental,Automotive,Europe,,China Telecommunications,Telecommunications and media,Asia,0
Coop Group,Retail,Europe,1,FedEx,Transportation and logistics,North America,0
COSCO Shipping,Transportation and logistics,Asia,1,PTT,Oil and gas,Asia,1
Costco Wholesale,Retail,North America,,Banco Bilbao Vizcaya Argentaria,Financial services,Europe,1
CPC,Oil and gas,Asia,1,SAIC Motor,Automotive,Asia,0
Credit Agricole,Financial services,Europe,,UBS Group,Financial services,Europe,1
Credit Mutuel Group,Financial services,Europe,1,E.ON,Energy and utilities,Europe,0
