company,sector,region,re100,sbti,cn,nz,cc
coles group,Retail,Other,00---,00---,00---,11---,00---
comcast,Telecommunications and media,North America,00000,00001,11111,00000,00101
commonwealth bank of australia,Financial services,Other,1--01,0--00,0--00,0--11,0--11
compal electronics,Technology,Asia,000--,000--,000--,011--,000--
compass group,Industrial goods,Europe,0-000,0-111,0-000,0-111,0-011
conocophillips,Metals and mining,North America,-0000,-0000,-0000,-1111,-1011
contemporary amperex technology,Automotive,Asia,--000,--000,--011,--000,--001
continental,Automotive,Europe,11111,11111,11111,00000,01110
coop group,Retail,Europe,00000,00100,11000,01111,01000
costco wholesale,Retail,North America,00000,00000,00000,00000,00000
country garden holdings,Real estate,Asia,000-0,000-0,100-0,000-0,0-10-0
cpc,Oil and gas,Asia,-0000,-0000,-0000,-0011,-0011
credit agricole,Financial services,Europe,11111,00000,00110,10001,00111
credit suisse group,Financial services,Europe,11---,00---,11---,11---,00---
crh,Industrial goods,Europe,00000,01111,11000,00111,00000
crrc group,Industrial goods,Asia,00000,00000,00111,00000,00000
crédit mutuel group,Financial services,Europe,---00,---00,---00,---11,---01
cummins,Industrial goods,North America,---00,---11,---00,---11,---00
cvs health,Health care and pharmaceuticals,North America,00000,11111,01000,01111,00001
d.r. horton,Engineering and construction,North America,--000,--000,--000,--000,--000
dai-ichi life holdings,Financial services,Asia,00000,00000,00000,11111,00000
daimler truck holding,Automotive,Europe,--000,--000,--111,--000,--001
daiwa house industry,Engineering and construction,Asia,11110,11111,01000,10111,00001
danaher,Health care and pharmaceuticals,North America,-00--,-00--,-00--,-00--,-00--
danone,"Food, beverages and agriculture",Europe,11---,11---,11---,00---,01---
deere,Engineering and construction,North America,00000,00111,00000,00001,00000
dell technologies,Technology,North America,11111,11111,00000,11111,00010
delta air lines,Transportation and logistics,North America,-0000,-0111,-1000,-1111,-0011
denso,Automotive,Asia,00000,00011,11111,00000,00111
deutsche bank,Transportation and logistics,Europe,00001,11110,11110,00001,00101
deutsche post dhl group,Transportation and logistics,Europe,000--,001--,000--,111--,010--
deutsche telekom,Telecommunications and media,Europe,11111,11111,11000,11111,00111
dhl group,Transportation and logistics,Europe,---00,---11,---00,---11,---01
dollar general,Retail,North America,00000,00000,00000,00000,00001
dollar tree,Retail,North America,0----,0----,0----,0----,0----
dongfeng motor,Automotive,Asia,00000,00000,00001,00000,00100
dow,Chemicals,North America,00000,00000,11111,00000,01010
dsv,Transportation and logistics,Europe,-00--,-11--,-00--,-01--,-00--
dz bank,Financial services,Europe,00-00,00-00,00-10,00-01,00-11
e.on,Energy and utilities,Europe,00000,01111,11111,00000,0-1110
ecopetrol,Metals and mining,Other,--000,--000,--000,--111,--011
edeka zentrale,"Food, beverages and agriculture",Europe,00000,00001,00000,00011,0-1000
electricite de france,Energy and utilities,Europe,00000,11111,11000,00111,0100-1
eli lilly,Health care and pharmaceuticals,North America,0--00,0--00,1--11,0--00,0--11
elo group,Retail,Europe,00000,00100,01000,00000,00000
emirates group,Transportation and logistics,Other,---00,---00,---00,---00,---00
enbridge,Energy and utilities,North America,00000,00000,00000,11111,01011
enel,Energy and utilities,Europe,00000,11111,00000,11111,0-101-1
eneos holdings,Oil and gas,Asia,00000,00000,11111,00000,00011
energi danmark group,Energy and utilities,Europe,--0--,--0--,--1--,--0--,--1--
energie baden-wurttemberg,Energy and utilities,Europe,-0000,-0111,-1111,-0000,-1111
energy transfer,Energy and utilities,North America,00000,00000,00000,00000,00000
engie,Energy and utilities,Europe,00000,11111,00000,11111,0-1011
eni,Oil and gas,Europe,00000,00000,10100,11011,00111
enterprise products partners,Energy and utilities,North America,00000,00000,00000,00000,00000
equinor,Oil and gas,Europe,00000,00000,11000,11111,00001
ericsson,Telecommunications and media,Europe,0----,1----,1----,0----,0----
exelon,Energy and utilities,North America,00---,00---,00---,11---,00---
exor group,Financial services,Europe,0000-,0000-,0100-,0111-,0-111-
exxon mobil,Oil and gas,North America,00000,00000,00000,01111,00011
fairfax financial holdings,Financial services,North America,---00,---00,---00,---00,---00
fannie mae,Financial services,North America,00000,00000,00000,00000,00000
fedex,Transportation and logistics,North America,00000,00000,11111,00000,01000
financière de l'odet,Telecommunications and media,Europe,0----,0----,1----,0----,0----
finatis,"Food, beverages and agriculture",Europe,000--,000--,000--,000--,000--
flex,Technology,Asia,0----,1----,0----,0----,0----
fomento economico mexicano,"Food, beverages and agriculture",Other,--000,--000,--000,--000,--000
ford motor,Automotive,North America,00000,11111,11111,00000,00111
fortum,Energy and utilities,Europe,00---,00---,11---,00---,00---
freddie mac,Financial services,North America,00000,00000,00000,00000,00000
fresenius,Health care and pharmaceuticals,Europe,000--,000--,001--,010--,000--
fubon financial holding,Financial services,Asia,00---,00---,00---,00---,00---
fujitsu,Technology,Asia,11---,11---,00---,11---,01---
gasterra,Energy and utilities,Europe,--0--,--0--,--0--,--0--,--0--
gazprom,Energy and utilities,Europe,00000,00000,00000,00000,00001
ge vernova,Energy and utilities,North America,----0,----0,----0,----1,----1
general dynamics,Aerospace and defense,North America,00000,00000,01011,00000,01000
general electric,Industrial goods,North America,0000-,0000-,1100-,1111-,0111-
general electric (ge aerospace),Aerospace and defense,North America,----0,----0,----0,----1,----1
general motors,Automotive,North America,11111,11111,11111,00000,00001
george weston,Retail,North America,00000,00000,00000,01111,00010
gilead sciences,Health care and pharmaceuticals,North America,0----,1----,0----,0----,0----
glencore,Metals and mining,Europe,00000,00000,00000,11111,0-1000
goldman sachs group,Financial services,North America,11111,00000,11000,11111,01111
gree electric appliances,Industrial goods,Asia,00---,00---,00---,00---,00---
greenland holding group,Real estate,Asia,00000,00000,00000,00000,00000
groupe bpce,Financial services,Europe,00000,00000,00110,11001,0-1011
gs caltex,Oil and gas,Asia,-0000,-0000,-0001,-0000,-0000
guangdong guangxin holdings,Financial services,Asia,--000,--000,--000,--000,--000
guangxi investment group,Financial services,Asia,00000,00000,00000,00000,00000
guangzhou automobile industry group,Automotive,Asia,00000,00000,00111,00000,00010
guangzhou industrial investment holdings,Industrial goods,Asia,--000,--000,--000,--000,--000
guangzhou municipal construction group,Engineering and construction,Asia,00000,00000,00000,00000,00000
guangzhou pharmaceutical holdings,Health care and pharmaceuticals,Asia,00000,00000,00000,00000,00000
guidewell mutual holding,Health care and pharmaceuticals,North America,----0,----0,----0,----0,----0
haier smart home,Household and personal products,Asia,00000,00000,00000,00101,00000
hailiang group,Financial services,Asia,00-00,00-00,00-00,00-01,00-00
hangzhou industrial investment group,Financial services,Asia,---00,---00,---00,---00,---00
hangzhou iron and steel group,Metals and mining,Asia,-0000,-0000,-0000,-0000,-0000
hanwha,Financial services,Asia,00000,00000,00000,00011,00011
hapag-lloyd,Transportation and logistics,Europe,--0--,--0--,--1--,--0--,--0--
hbis group,Metals and mining,Asia,00000,00000,11111,00000,00000
hca healthcare,Health care and pharmaceuticals,North America,00000,00000,00000,00011,00000
hd hyundai,Oil and gas,Asia,--000,--000,--001,--000,--001
hdfc bank,Financial services,Asia,---00,---00,---01,---00,---00
heineken,"Food, beverages and agriculture",Europe,---11,---11,---00,---11,---01
hengli group,Household and personal products,Asia,00000,00000,00000,00000,00000
heraeus holding,Metals and mining,Europe,00---,00---,01---,00---,00---
hewlett packard enterprise,Technology,North America,1----,1----,0----,1----,0----
hf sinclair,Energy and utilities,North America,--0--,--0--,--0--,--0--,--0--
hitachi,Technology,Asia,00000,11111,11110,00001,00110
holcim,Industrial goods,Europe,00---,01---,00---,11---,00---
home depot,Retail,North America,01111,00011,00000,00000,00000
hon hai precision industry,Technology,Asia,00001,00111,00000,11111,00010
honda motor,Automotive,Asia,00000,00000,11111,00000,01001
honeywell international,Industrial goods,North America,00000,00111,11111,00000,00101
hp,Technology,North America,11111,11111,11000,11111,00111
hsbc holdings,Financial services,Europe,11111,00000,00000,11111,00011
huawei investment & holding,Technology,Asia,00000,00000,00000,00000,00000
huayang new material technology group,Industrial goods,Asia,0----,0----,0----,0----,0----
humana,Health care and pharmaceuticals,North America,00000,00011,00000,00000,00000
hunan iron & steel group,Metals and mining,Asia,00000,00000,00000,00000,00000
hyundai mobis,Automotive,Asia,01111,00001,01000,00111,00010
hyundai motor,Automotive,Asia,11111,00000,11011,00100,01010
iberdrola,Energy and utilities,Europe,00000,11111,11000,00111,00-111
ibm,Technology,North America,--000,--000,--000,--111,--011
icici bank,Financial services,Asia,----0,----0,----1,----0,----0
idemitsu kosan,Oil and gas,Asia,00000,00000,11111,00000,00110
indian oil,Oil and gas,Asia,00000,00000,00000,00111,00011
inditex,Retail,Europe,-0000,-1111,-0000,-1111,-0000
industrial & commercial bank of china,Financial services,Asia,00000,00000,00100,00000,00001
industrial bank,Financial services,Asia,00000,00000,00001,00000,00001
ing group,Financial services,Europe,11111,01001,10000,01111,0011-1
ingram micro holding,Industrial goods,North America,----0,----1,----0,----0,----1
intel,Technology,North America,11111,00000,10000,01111,0-1011
international airlines group,Transportation and logistics,Europe,----0,----0,----0,----1,----1
international business machines,Technology,North America,00---,00---,00---,11---,00---
intesa sanpaolo,Financial services,Europe,00000,00001,00000,01111,01101
investor,Financial services,Europe,-0---,-0---,-0---,-1---,-0---
itau unibanco holding,Financial services,Other,00000,00000,01000,01111,01111
itochu,Financial services,Asia,00000,00000,11000,11111,01011
j. sainsbury,Retail,Europe,00000,11111,00000,11111,0-1000
jabil,Industrial goods,North America,0000-,0000-,0111-,0000-,0000-
japan post holdings,Financial services,Asia,00000,00000,11111,00000,0-1000
jardine matheson,Automotive,Asia,00000,00000,00000,00011,00000
jbs,"Food, beverages and agriculture",Europe,00000,00000,00000,11111,0-1010
jd.com,Retail,Asia,00000,00000,01000,00000,01000
jerónimo martins,Retail,Europe,---00,---11,---00,---11,---01
jfe holdings,Metals and mining,Asia,0000-,0000-,0111-,0000-,0000-
jiangsu shagang group,Metals and mining,Asia,00000,00000,00000,00000,00000
jiangxi copper,Metals and mining,Asia,00000,00000,00000,00000,00000
jinchuan group,Metals and mining,Asia,00000,00000,00000,00000,00000
jinneng holding group,Metals and mining,Asia,00000,00000,00000,00000,00000
johnson & johnson,Health care and pharmaceuticals,North America,11111,11111,11000,10111,00101
jpmorgan chase,Financial services,North America,11100,00000,11000,00111,00111
kansai electric power,Energy and utilities,Asia,0----,0----,0----,0----,0----
kb financial group,Financial services,Asia,00111,01111,01000,10111,0-1010
kddi,Telecommunications and media,Asia,01111,01111,00010,11101,00111
kia,Automotive,Asia,01111,00000,01101,00010,00110
koc holding,Energy and utilities,Europe,00000,00000,11111,00000,00000
