year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,Engie,Europe,Energy and utilities,,1,,1,,,,
2021,ENI,Europe,Oil and gas,,,1,1,,,,
2021,Enterprise Products Partners,North America,Oil and gas,,,,,,,,
2021,Equinor,Europe,Oil and gas,,,1,1,,,,
2021,Ericsson,Europe,Telecommunications and media,,1,1,,,,,
2021,Exelon,North America,Energy and utilities,,,,1,,,,
2021,EXOR Group,Europe,Financial services,,,,,,,,
2021,Exxon Mobil,North America,Oil and gas,,,,,,,,
2021,Facebook,North America,Technology,1,,,1,,,,
2021,Fannie Mae,North America,Financial services,,,,,,,,
2021,FedEx,North America,Transportation and logistics,,,1,,,,,
2021,Financière de l'Odet,Europe,Telecommunications and media,,,1,,,,,
2021,Finatis,Europe,"Food, beverages and agriculture",,,,,,,,
2021,Flex,Asia,Technology,,1,,,,,,
2021,Ford Motor,North America,Automotive,,1,1,,,,,
2021,Fortum,Europe,Energy and utilities,,,1,,,,,
2021,Freddie Mac,North America,Financial services,,,,,,,,
2021,Fresenius,Europe,Health care and pharmaceuticals,,,,,,,,
2021,Fubon Financial Holding,Asia,Financial services,,,,,,,,
2021,Fujitsu,Asia,Technology,1,1,,1,,,,
2021,Gazprom,Europe,Energy and utilities,,,,,,,,
2021,General Dynamics,North America,Aerospace and defense,,,,,,,,
2021,General Electric,North America,Industrial goods,,,1,1,,,,
2021,General Motors,North America,Automotive,1,1,1,,,,,
2021,George Weston,North America,"Food, beverages and agriculture",,,,,,,,
2021,Gilead Sciences,North America,Health care and pharmaceuticals,,1,,,,,,
2021,GlaxoSmithKline,Europe,Health care and pharmaceuticals,1,1,,1,,,,
2021,Glencore,Europe,Industrial goods,,,,1,,,,
2021,Goldman Sachs Group,North America,Financial services,1,,1,1,,,,
2021,Gree Electric Appliances,Asia,Technology,,,,,,,,
2021,Greenland Holding Group,Asia,Real estate,,,,,,,,
2021,Groupe BPCE,Europe,Financial services,,,,1,,,,
2021,Guangxi Investment Group,Asia,Financial services,,,,,,,,
2021,Guangzhou Automobile Industry Group,Asia,Automotive,,,,,,,,
2021,Guangzhou Municipal Construction Group,Asia,Engineering and construction,,,,,,,,
2021,Guangzhou Pharmaceutical Holdings,Asia,Health care and pharmaceuticals,,,,,,,,
2021,Haier Smart Home,Asia,Technology,,,,,,,,
