company,re100,sbti,cn,nz,cc
mitsui,00000,01000,10000,11101,01001
mizuho financial group,00000,00000,11000,01111,001-1-1
molina healthcare,--000,--000,--000,--000,--000
mondelez international,00000,11111,00000,01111,00000
morgan stanley,11110,00000,11000,11111,0-1111
ms&ad insurance group holdings,00000,00000,00000,11111,00000
munich re group,00000,00000,11000,11111,01111
national australia bank,---11,---00,---00,---11,---11
nationwide,00000,00000,00000,00111,00111
naturgy energy group,--0--,--0--,--1--,--0--,--1--
natwest group,----1,----1,----0,----1,----1
nec,1----,1----,1----,0----,0----
netflix,01000,11111,00000,11111,01011
new hope holding group,00000,00000,00000,00000,0-1000
new york life insurance,00000,00000,00000,00110,00010
nike,11111,11111,00000,00110,00010
nippon life insurance,00011,00000,10000,01111,00000
nissan motor,00000,11111,11110,00000,00111
nokia,0----,1----,0----,0----,0----
northrop grumman,00000,00000,00000,01111,01001
northwestern mutual,00000,00000,00000,00000,00000
novartis,11111,11111,11000,11111,00111
novo nordisk,---11,---10,---00,---11,---01
nrg energy,--0--,--1--,--0--,--1--,--0--
nucor,-000-,-000-,-000-,-001-,-101-
nutrien,--0--,--0--,--0--,--0--,--0--
nvidia,---00,---01,---00,---00,---00
occidental petroleum,--0--,--0--,--0--,--1--,--0--
oil & natural gas,00000,00000,01000,00101,01001
omv group,-0000,-0000,-0000,-1111,-0011
oracle,00000,00000,01000,01111,01000
orange,00000,11111,00000,11111,01011
paccar,---00,---11,---00,---00,---00
pacific construction group,00000,00000,00000,00001,00001
pbf energy,--000,--000,--110,--000,--000
pdd holdings,---00,---00,---00,---00,---00
pegatron,00000,00001,00000,00011,00000
pemex,00000,00000,00000,00011,00011
people's insurance co. of china,00000,00000,00001,00000,00000
pepsico,11111,11111,00000,11111,01011
performance food group,00000,00000,00000,00010,00000
pertamina,00000,00000,00000,00101,00000
perusahaan listrik negara,----0,----0,----0,----1,----1
petrobras,00000,00000,00110,01001,00111
petronas,00000,00000,00000,11111,00000
pfizer,00111,11111,11000,01111,00111
philip morris international,00000,11111,11000,11111,01111
phillips 66,00000,00000,00000,00000,00000
phoenix group holdings,00---,00---,10---,11---,01---
phoenix pharma,00000,00000,00100,01010,00111
ping an insurance,00000,00000,01110,00000,01110
plains gp holdings,-0000,-0000,-0000,-0000,-0000
pnc financial services group,----0,----0,----0,----0,----1
poste italiane,000--,000--,011--,100--,011--
power corp. of canada,0000-,0000-,0000-,0010-,0000-
powerchina,00000,00000,00001,00000,00000
procter & gamble,11110,11111,11000,01111,01111
progressive,00000,00000,00000,00110,00110
prudential,1----,0----,0----,0----,0----
prudential financial,00000,00000,10000,10111,00-111
ptt,00000,00000,00000,01111,00011
publix super markets,00000,00000,00000,00000,0-1000
qnb group,----0,----0,----0,----0,----0
qualcomm,-0000,-0111,-0000,-1111,--1011
quanta computer,00000,00001,00110,00001,00000
rabobank group,---00,---00,---00,---00,---00
rajesh exports,0000-,0000-,0000-,0000-,0-100-
randstad,-0---,-0---,-0---,-1---,-0---
reliance industries,00000,00000,00000,10111,00001
renault,00000,11111,11100,00010,00010
repsol,00000,00000,00000,11111,01011
rewe group,----0,----0,----0,----1,----1
rio tinto group,00000,00000,00000,11111,00001
rite aid,0----,0----,0----,0----,0----
roche group,00000,00001,00000,11111,000-10
rosneft oil,00-00,00-00,00-10,01-00,00-10
royal ahold delhaize,00000,11111,00000,11111,00001
royal bank of canada,00000,00000,11000,11111,00111
rwe,-00--,-11--,-11--,-00--,-00--
s.f. holding,-0000,-0001,-0000,-0001,-1001
saic motor,00000,00000,00000,00000,00000
saint-gobain,00000,11111,10000,01111,00001
salesforce,--000,--011,--000,--111,--011
samsung c&t,0000-,0000-,0011-,0000-,0001-
samsung electronics,00111,00000,00000,00111,01001
samsung life insurance,001--,000--,011--,000--,0-11--
sanofi,11111,11111,11000,01111,00111
sap,10111,11111,11000,01111,01111
saudi aramco,00000,00000,00000,01111,01011
sberbank,00000,00000,11110,00000,0-1011
schlumberger,---00,---00,---00,---11,---10
schneider electric,11111,11111,11000,01111,01111
seven & i holdings,11111,00000,00100,11011,00000
shaanxi coal & chemical industry,00000,00000,00000,00000,00100
shaanxi construction engineering holding,--00-,--00-,--00-,--00-,--00-
shaanxi yanchang petroleum (group),00000,00000,00000,00000,00000
shandong energy group,00000,00000,00001,00000,00000
shandong gold group,----0,----0,----1,----0,----0
shandong hi-speed group,-0000,-0000,-0001,-0000,-0001
shandong weiqiao pioneering group,00000,00000,00000,00010,00000
shanghai construction group,00000,00000,00001,00000,00000
shanghai delong steel group,-0000,-0000,-0000,-0000,-0000
shanghai pharmaceuticals holding,00000,00000,00001,00000,00000
shanghai pudong development bank,00000,00000,00001,00000,00000
shanxi coking coal group,0000-,0000-,0000-,0000-,0000-
shenghong holding group,00000,00000,00000,00000,00000
shenzhen investment holdings,00000,00000,00000,00000,00000
shougang group,0000-,0000-,0000-,0000-,0000-
shudao investment group,-0000,-0000,-0000,-0000,-0000
siemens,11110,11111,11000,01111,00011
