company,sector,nz_2024,nz_2025,gained_nz,lost_nz
Energie Baden-Wurttemberg,Energy and utilities,0.0,0.0,False,False
Energy Transfer,Energy and utilities,,0.0,False,False
Energy Transfer,Oil and gas,0.0,,False,False
Engie,Energy and utilities,1.0,1.0,False,False
Enterprise Products Partners,Energy and utilities,,0.0,False,False
Enterprise Products Partners,Oil and gas,0.0,,False,False
Equinor,Oil and gas,1.0,1.0,False,False
Exxon Mobil,Oil and gas,1.0,1.0,False,False
Fairfax Financial Holdings,Financial services,0.0,0.0,False,False
Fannie Mae,Financial services,0.0,0.0,False,False
FedEx,Transportation and logistics,0.0,0.0,False,False
Ford Motor,Automotive,0.0,0.0,False,False
Freddie Mac,Financial services,0.0,0.0,False,False
GS Caltex,Oil and gas,0.0,0.0,False,False
GSK,Health care and pharmaceuticals,1.0,1.0,False,False
Gazprom,Energy and utilities,,0.0,False,False
Gazprom,Oil and gas,0.0,,False,False
General Dynamics,Aerospace and defense,0.0,0.0,False,False
General Motors,Automotive,0.0,0.0,False,False
George Weston,Retail,1.0,1.0,False,False
Glencore,Metals and mining,1.0,1.0,False,False
Goldman Sachs Group,Financial services,1.0,1.0,False,False
Greenland Holding Group,Real estate,0.0,0.0,False,False
Groupe BPCE,Financial services,0.0,1.0,True,False
Guangdong Guangxin Holdings,Financial services,0.0,0.0,False,False
Guangxi Investment Group,Financial services,0.0,0.0,False,False
Guangzhou Automobile Industry Group,Automotive,0.0,0.0,False,False
Guangzhou Industrial Investment Holdings,Industrial goods,0.0,0.0,False,False
Guangzhou Municipal Construction Group,Engineering and construction,0.0,0.0,False,False
Guangzhou Pharmaceutical Holdings,Health care and pharmaceuticals,0.0,0.0,False,False
HBIS Group,Metals and mining,0.0,0.0,False,False
HCA Healthcare,Health care and pharmaceuticals,1.0,1.0,False,False
HD Hyundai,Oil and gas,0.0,0.0,False,False
HDFC Bank,Financial services,0.0,0.0,False,False
HP,Technology,1.0,1.0,False,False
HSBC Holdings,Financial services,1.0,1.0,False,False
Haier Smart Home,Household and personal products,,1.0,False,False
Haier Smart Home,Industrial goods,0.0,,False,False
Hailiang Group,Financial services,0.0,1.0,True,False
Hangzhou Industrial Investment Group,Financial services,0.0,0.0,False,False
Hangzhou Iron and Steel Group,Metals and mining,0.0,0.0,False,False
Hanwha,Financial services,1.0,1.0,False,False
Heineken,"Food, beverages and agriculture",1.0,1.0,False,False
Hengli Group,Household and personal products,0.0,0.0,False,False
Hitachi,Industrial goods,0.0,,False,False
Hitachi,Technology,,1.0,False,False
Home Depot,Retail,0.0,0.0,False,False
Hon Hai Precision Industry,Industrial goods,1.0,,False,False
Hon Hai Precision Industry,Technology,,1.0,False,False
Honda Motor,Automotive,0.0,0.0,False,False
Honeywell International,Industrial goods,0.0,0.0,False,False
Huawei Investment & Holding,Technology,,0.0,False,False
Huawei Investment & Holding,Telecommunications and media,0.0,,False,False
Humana,Health care and pharmaceuticals,0.0,0.0,False,False
Hunan Iron & Steel Group,Metals and mining,0.0,0.0,False,False
Hyundai Mobis,Automotive,1.0,1.0,False,False
Hyundai Motor,Automotive,0.0,0.0,False,False
IBM,Technology,1.0,1.0,False,False
ING Group,Financial services,1.0,1.0,False,False
Iberdrola,Energy and utilities,1.0,1.0,False,False
Idemitsu Kosan,Oil and gas,0.0,0.0,False,False
Indian Oil,Oil and gas,1.0,1.0,False,False
Inditex,Retail,1.0,1.0,False,False
Industrial & Commercial Bank of China,Financial services,0.0,0.0,False,False
Industrial Bank,Financial services,0.0,0.0,False,False
Ingka Group,Retail,1.0,1.0,False,False
